text,count,name
good,20,Adrienne
beer,13,Adrienne
place,11,Adrienne
enjoyed,8,Adrienne
best,7,Adrienne
though,7,Adrienne
food,7,Adrienne
bit,6,Adrienne
lovely,6,Adrienne
way,6,Adrienne
side,6,Adrienne
much,6,Adrienne
like,6,Adrienne
time,5,Adrienne
couple,5,Adrienne
selection,5,Adrienne
beers,5,Adrienne
actually,5,Adrienne
back,5,Adrienne
chips,5,Adrienne
got,5,Adrienne
delicious,5,Adrienne
really,5,Adrienne
nice,5,Adrienne
pizza,4,Adrienne
friendly,4,Adrienne
im,4,Adrienne
tasty,4,Adrienne
feel,4,Adrienne
quite,4,Adrienne
