text,count,name
good,26,Alex
youre,21,Alex
like,18,Alex
spot,16,Alex
dont,15,Alex
first,14,Alex
great,13,Alex
well,13,Alex
time,13,Alex
food,12,Alex
order,12,Alex
menu,11,Alex
youll,11,Alex
best,11,Alex
sauce,11,Alex
service,10,Alex
thats,10,Alex
make,10,Alex
parking,10,Alex
table,9,Alex
know,9,Alex
try,9,Alex
sure,9,Alex
lot,8,Alex
bread,8,Alex
bar,8,Alex
area,8,Alex
im,8,Alex
though,7,Alex
theres,7,Alex
salad,5,Alex
italian,4,Alex
time,4,Alex
although,4,Alex
downtown,4,Alex
barbecue,4,Alex
dr,4,Alex
chicken,4,Alex
known,4,Alex
cocktails,4,Alex
first,4,Alex
table,4,Alex
part,4,Alex
wine,4,Alex
location,4,Alex
photo,93,Alex
like,51,Alex
food,45,Alex
jamie,42,Alex
chicken,38,Alex
3,34,Alex
4,29,Alex
service,29,Alex
didnt,29,Alex
since,25,Alex
place,25,Alex
total,25,Alex
35,24,Alex
ambiance,24,Alex
know,23,Alex
