text,count,name
came,5,Alexandra
seated,4,Alexandra
time,4,Alexandra
walk,3,Alexandra
long,3,Alexandra
mins,3,Alexandra
food,3,Alexandra
around,3,Alexandra
like,3,Alexandra
peppermill,2,Alexandra
locations,2,Alexandra
30,2,Alexandra
breakfast,2,Alexandra
drinks,2,Alexandra
waitress,2,Alexandra
hotel,2,Alexandra
menu,2,Alexandra
buffets,2,Alexandra
still,2,Alexandra
nice,2,Alexandra
pho,2,Alexandra
10,2,Alexandra
minutes,2,Alexandra
available,2,Alexandra
size,2,Alexandra
eating,2,Alexandra
tables,2,Alexandra
nothing,1,Alexandra
ago,1,Alexandra
really,1,Alexandra
