text,count,name
ordered,33,Alison
really,33,Alison
place,26,Alison
came,26,Alison
good,24,Alison
area,21,Alison
oysters,20,Alison
great,18,Alison
chocolate,17,Alison
bread,17,Alison
since,17,Alison
order,16,Alison
back,16,Alison
1,16,Alison
service,16,Alison
bar,15,Alison
dining,14,Alison
didnt,14,Alison
small,14,Alison
time,14,Alison
couple,14,Alison
first,14,Alison
flavor,13,Alison
dinner,13,Alison
nice,13,Alison
wasnt,13,Alison
food,13,Alison
youre,13,Alison
2,12,Alison
cookies,12,Alison
visit,8,Alison
could,8,Alison
rice,8,Alison
time,8,Alison
menu,8,Alison
come,8,Alison
like,8,Alison
tried,7,Alison
night,7,Alison
dont,7,Alison
well,7,Alison
beans,7,Alison
got,7,Alison
first,6,Alison
sure,6,Alison
shrimp,11,Alison
buffets,7,Alison
steakhouse,7,Alison
place,6,Alison
food,6,Alison
crab,6,Alison
buffet,6,Alison
beef,5,Alison
huge,5,Alison
chocolate,5,Alison
dont,5,Alison
two,5,Alison
im,5,Alison
desserts,4,Alison
room,4,Alison
