text,count,name
fish,8,Allister
like,8,Allister
food,7,Allister
shabu,6,Allister
cream,6,Allister
eat,6,Allister
since,5,Allister
ice,5,Allister
dish,5,Allister
probably,5,Allister
restaurant,5,Allister
menu,5,Allister
soup,5,Allister
fresh,5,Allister
night,4,Allister
sit,4,Allister
clams,4,Allister
chicken,4,Allister
bean,4,Allister
tempura,4,Allister
order,4,Allister
roll,4,Allister
good,4,Allister
really,4,Allister
though,4,Allister
didnt,4,Allister
side,4,Allister
ramen,4,Allister
noodles,4,Allister
sushi,4,Allister
