text,count,name
came,83,Amy
friend,73,Amy
since,72,Amy
think,70,Amy
well,70,Amy
hot,64,Amy
im,64,Amy
didnt,63,Amy
time,60,Amy
chicken,60,Amy
made,59,Amy
come,56,Amy
went,56,Amy
though,53,Amy
wasnt,53,Amy
back,53,Amy
thought,51,Amy
much,51,Amy
sandwich,48,Amy
still,47,Amy
dont,47,Amy
cheese,46,Amy
place,14,Amy
really,14,Amy
good,8,Amy
got,7,Amy
shrimp,7,Amy
spot,7,Amy
fried,7,Amy
definitely,6,Amy
night,5,Amy
came,5,Amy
bit,5,Amy
restaurant,5,Amy
flavor,5,Amy
food,5,Amy
pretty,4,Amy
nice,4,Amy
eat,4,Amy
little,4,Amy
service,4,Amy
pork,3,Amy
great,3,Amy
scallops,3,Amy
oysters,3,Amy
fresh,3,Amy
however,3,Amy
come,3,Amy
back,3,Amy
belly,3,Amy
gumbo,3,Amy
still,3,Amy
really,80,Amy
good,77,Amy
place,62,Amy
great,56,Amy
tucson,55,Amy
like,51,Amy
back,44,Amy
think,44,Amy
