text,count,name
latte,5,Andrea
cheese,4,Andrea
delicious,4,Andrea
ordered,4,Andrea
patio,3,Andrea
state,3,Andrea
sidewalk,3,Andrea
location,3,Andrea
street,3,Andrea
milk,2,Andrea
soy,2,Andrea
hour,2,Andrea
bread,2,Andrea
afternoon,2,Andrea
italian,2,Andrea
excellent,2,Andrea
appetizers,2,Andrea
fresh,2,Andrea
garlic,2,Andrea
wine,2,Andrea
outside,2,Andrea
pretty,2,Andrea
chips,2,Andrea
cant,2,Andrea
sandwich,2,Andrea
along,2,Andrea
seating,2,Andrea
window,2,Andrea
habit,2,Andrea
steak,2,Andrea
come,9,Andrea
came,9,Andrea
flavor,8,Andrea
meal,8,Andrea
made,8,Andrea
location,8,Andrea
sweet,8,Andrea
make,8,Andrea
night,8,Andrea
lunch,7,Andrea
much,7,Andrea
hour,7,Andrea
cheese,7,Andrea
salad,7,Andrea
service,7,Andrea
like,36,Andrea
service,26,Andrea
good,25,Andrea
theres,24,Andrea
area,23,Andrea
bar,22,Andrea
food,22,Andrea
find,21,Andrea
quite,21,Andrea
large,19,Andrea
thanks,17,Andrea
venue,17,Andrea
worth,15,Andrea
friendly,15,Andrea
great,15,Andrea
