text,count,name
bar,231,Andrew
didnt,230,Andrew
meal,221,Andrew
delicious,221,Andrew
dish,218,Andrew
tried,215,Andrew
time,202,Andrew
well,198,Andrew
lot,197,Andrew
two,196,Andrew
try,194,Andrew
salad,188,Andrew
ordered,188,Andrew
back,185,Andrew
order,184,Andrew
good,227,Andrew
great,104,Andrew
nice,81,Andrew
tasty,81,Andrew
two,80,Andrew
food,79,Andrew
little,74,Andrew
well,74,Andrew
service,72,Andrew
chicken,71,Andrew
coffee,69,Andrew
hot,64,Andrew
cheese,62,Andrew
restaurant,56,Andrew
place,55,Andrew
