text,count,name
place,6,Bill
dinner,5,Bill
really,4,Bill
like,4,Bill
didnt,3,Bill
great,3,Bill
got,3,Bill
cheese,3,Bill
thing,2,Bill
though,2,Bill
super,2,Bill
tots,2,Bill
seemed,2,Bill
drinks,2,Bill
eggs,2,Bill
ordered,2,Bill
sat,2,Bill
unique,2,Bill
bar,2,Bill
seating,2,Bill
loud,2,Bill
recommend,2,Bill
made,2,Bill
ended,2,Bill
outside,2,Bill
much,2,Bill
water,2,Bill
delicious,2,Bill
give,2,Bill
good,2,Bill
place,22,Bill
reno,16,Bill
time,15,Bill
really,15,Bill
pretty,14,Bill
still,13,Bill
great,10,Bill
best,9,Bill
like,8,Bill
dont,8,Bill
overall,8,Bill
good,7,Bill
im,6,Bill
eat,6,Bill
try,6,Bill
come,6,Bill
every,6,Bill
much,6,Bill
outside,5,Bill
bit,5,Bill
food,5,Bill
years,5,Bill
something,5,Bill
sure,5,Bill
ihop,5,Bill
fried,5,Bill
probably,5,Bill
casino,5,Bill
stay,5,Bill
want,5,Bill
good,64,Bill
like,53,Bill
friend,46,Bill
chicken,44,Bill
beer,42,Bill
really,41,Bill
bit,39,Bill
nashville,38,Bill
time,37,Bill
went,36,Bill
food,35,Bill
little,35,Bill
people,35,Bill
great,35,Bill
didnt,33,Bill
got,33,Bill
well,32,Bill
though,31,Bill
im,30,Bill
back,30,Bill
beers,29,Bill
bar,28,Bill
loved,28,Bill
love,27,Bill
service,26,Bill
much,26,Bill
cheese,25,Bill
order,25,Bill
try,24,Bill
place,23,Bill
