text,count,name
great,31,Brian
food,30,Brian
good,28,Brian
bar,27,Brian
area,20,Brian
plenty,19,Brian
place,19,Brian
huge,19,Brian
much,18,Brian
ordered,16,Brian
fun,16,Brian
inside,16,Brian
restaurant,16,Brian
came,15,Brian
back,15,Brian
service,15,Brian
nice,14,Brian
husband,14,Brian
enjoyed,14,Brian
menu,14,Brian
cheese,14,Brian
lunch,13,Brian
well,13,Brian
breakfast,13,Brian
quite,13,Brian
friends,12,Brian
outside,12,Brian
small,12,Brian
time,12,Brian
started,11,Brian
theres,367,Brian
order,363,Brian
going,353,Brian
drink,337,Brian
made,334,Brian
new,326,Brian
back,324,Brian
way,323,Brian
id,323,Brian
people,320,Brian
make,319,Brian
thats,310,Brian
chicken,309,Brian
first,303,Brian
bit,301,Brian
good,31,Brian
food,31,Brian
ordered,21,Brian
service,19,Brian
restaurant,18,Brian
came,17,Brian
place,14,Brian
delicious,14,Brian
order,13,Brian
great,12,Brian
dish,12,Brian
really,11,Brian
menu,11,Brian
po,10,Brian
crawfish,10,Brian
