text,count,name
food,33,Brittany
good,32,Brittany
great,29,Brittany
service,26,Brittany
place,23,Brittany
really,20,Brittany
chicken,20,Brittany
definitely,18,Brittany
restaurant,18,Brittany
love,18,Brittany
id,17,Brittany
friendly,17,Brittany
new,16,Brittany
ordered,16,Brittany
im,16,Brittany
bar,15,Brittany
dont,15,Brittany
bread,15,Brittany
time,14,Brittany
drink,14,Brittany
order,14,Brittany
menu,14,Brittany
sandwich,14,Brittany
everything,14,Brittany
super,13,Brittany
orleans,13,Brittany
delicious,13,Brittany
try,13,Brittany
better,13,Brittany
eat,13,Brittany
