text,count,name
salad,4,Candace
huge,3,Candace
didnt,3,Candace
made,3,Candace
tofu,3,Candace
meal,2,Candace
master,2,Candace
lb,2,Candace
sat,2,Candace
night,2,Candace
free,2,Candace
tasty,2,Candace
vegan,2,Candace
hotel,2,Candace
definitely,2,Candace
interesting,2,Candace
touch,2,Candace
class,2,Candace
super,2,Candace
delicious,2,Candace
tried,2,Candace
bath,2,Candace
food,103,Candace
beer,72,Candace
tap,64,Candace
good,58,Candace
level,47,Candace
bar,47,Candace
like,44,Candace
beers,42,Candace
