text,count,name
make,11,Carmen
come,10,Carmen
chicken,10,Carmen
everything,10,Carmen
back,10,Carmen
theyre,10,Carmen
like,44,Carmen
cheese,23,Carmen
good,20,Carmen
sandwich,19,Carmen
wasnt,18,Carmen
food,16,Carmen
dish,16,Carmen
sauce,15,Carmen
much,14,Carmen
ingredients,13,Carmen
bacon,12,Carmen
restaurant,12,Carmen
menu,11,Carmen
dont,10,Carmen
potato,10,Carmen
hash,10,Carmen
small,10,Carmen
egg,10,Carmen
didnt,10,Carmen
venison,10,Carmen
duck,10,Carmen
wine,9,Carmen
cooked,9,Carmen
came,9,Carmen
