text,count,name
service,41,Charley
food,36,Charley
like,34,Charley
good,34,Charley
place,31,Charley
great,31,Charley
got,26,Charley
salad,25,Charley
menu,23,Charley
love,18,Charley
didnt,17,Charley
dont,16,Charley
nice,14,Charley
much,14,Charley
table,13,Charley
though,13,Charley
decor,13,Charley
really,13,Charley
came,13,Charley
wasnt,13,Charley
delicious,12,Charley
back,12,Charley
people,12,Charley
atmosphere,12,Charley
experience,12,Charley
friendly,12,Charley
bacon,12,Charley
still,11,Charley
okay,11,Charley
pretty,11,Charley
