text,count,name
really,11,Christina
like,11,Christina
little,11,Christina
sandwich,11,Christina
well,11,Christina
order,11,Christina
steak,11,Christina
small,10,Christina
comes,10,Christina
come,10,Christina
place,10,Christina
lot,10,Christina
long,10,Christina
inside,9,Christina
located,9,Christina
sweet,35,Christina
cheese,30,Christina
friendly,30,Christina
well,28,Christina
delicious,28,Christina
food,27,Christina
bit,24,Christina
place,24,Christina
time,24,Christina
came,23,Christina
seating,22,Christina
back,22,Christina
line,22,Christina
available,21,Christina
fresh,21,Christina
