text,count,name
well,30,Christopher
flavors,23,Christopher
food,21,Christopher
best,18,Christopher
made,18,Christopher
great,17,Christopher
good,14,Christopher
service,12,Christopher
yet,12,Christopher
coffee,11,Christopher
wife,11,Christopher
like,11,Christopher
friend,11,Christopher
flavor,11,Christopher
meal,11,Christopher
together,11,Christopher
excellent,10,Christopher
savory,10,Christopher
texture,10,Christopher
came,10,Christopher
tasty,9,Christopher
spot,9,Christopher
dining,9,Christopher
restaurant,9,Christopher
oysters,9,Christopher
side,8,Christopher
sweetness,8,Christopher
away,8,Christopher
chocolate,8,Christopher
time,8,Christopher
