text,count,name
breakfast,18,Colleen
definitely,18,Colleen
service,17,Colleen
didnt,17,Colleen
order,17,Colleen
friendly,17,Colleen
room,17,Colleen
dinner,15,Colleen
meal,15,Colleen
ordered,15,Colleen
sandwich,15,Colleen
next,14,Colleen
future,14,Colleen
bread,14,Colleen
cant,14,Colleen
good,32,Colleen
place,30,Colleen
food,27,Colleen
tasty,21,Colleen
chicken,20,Colleen
got,19,Colleen
like,18,Colleen
cheese,18,Colleen
coffee,18,Colleen
restaurant,17,Colleen
friend,16,Colleen
try,15,Colleen
drinks,15,Colleen
super,14,Colleen
check,14,Colleen
