text,count,name
place,6,Courtney
youll,6,Courtney
house,5,Courtney
old,5,Courtney
bit,5,Courtney
say,5,Courtney
good,5,Courtney
menu,5,Courtney
really,5,Courtney
quite,5,Courtney
bar,5,Courtney
make,5,Courtney
back,5,Courtney
cocktail,5,Courtney
city,5,Courtney
good,577,Courtney
food,395,Courtney
place,319,Courtney
great,279,Courtney
bar,264,Courtney
restaurant,253,Courtney
like,248,Courtney
time,197,Courtney
lunch,196,Courtney
service,189,Courtney
try,184,Courtney
back,164,Courtney
area,163,Courtney
really,162,Courtney
sandwich,160,Courtney
