text,count,name
salmon,14,Cynthia
want,14,Cynthia
wasnt,13,Cynthia
chicken,13,Cynthia
wanted,13,Cynthia
smoked,13,Cynthia
fried,13,Cynthia
cheese,12,Cynthia
cant,12,Cynthia
come,10,Cynthia
thing,10,Cynthia
definitely,10,Cynthia
ice,9,Cynthia
say,9,Cynthia
try,9,Cynthia
good,2199,Cynthia
restaurant,1700,Cynthia
food,1677,Cynthia
like,1391,Cynthia
dish,948,Cynthia
order,741,Cynthia
sauce,661,Cynthia
time,661,Cynthia
place,640,Cynthia
meat,639,Cynthia
chicken,628,Cynthia
got,620,Cynthia
come,593,Cynthia
fried,555,Cynthia
grilled,518,Cynthia
