text,count,name
hour,5,Danielle
room,5,Danielle
much,5,Danielle
bit,5,Danielle
well,4,Danielle
different,4,Danielle
salad,2,Danielle
chicken,2,Danielle
didnt,2,Danielle
grilled,1,Danielle
greens,1,Danielle
found,1,Danielle
unwashed,1,Danielle
mushrooms,1,Danielle
covered,1,Danielle
dirt,1,Danielle
lost,1,Danielle
appetite,1,Danielle
finish,1,Danielle
wouldnt,1,Danielle
come,1,Danielle
back,1,Danielle
though,1,Danielle
staff,1,Danielle
nice,1,Danielle
decor,1,Danielle
fun,1,Danielle
1,1,Danielle
star,1,Danielle
smiley,1,Danielle
