text,count,name
sandwich,7,Darylynn
cup,7,Darylynn
ordered,6,Darylynn
drink,6,Darylynn
love,6,Darylynn
area,6,Darylynn
bread,6,Darylynn
good,6,Darylynn
really,6,Darylynn
something,5,Darylynn
chicken,5,Darylynn
service,5,Darylynn
street,5,Darylynn
beans,5,Darylynn
table,5,Darylynn
friendly,5,Darylynn
theres,5,Darylynn
dining,5,Darylynn
like,5,Darylynn
fries,5,Darylynn
way,5,Darylynn
look,4,Darylynn
good,197,Darylynn
got,162,Darylynn
like,138,Darylynn
place,123,Darylynn
pretty,118,Darylynn
little,113,Darylynn
really,101,Darylynn
food,95,Darylynn
