text,count,name
table,22,Dave
liked,21,Dave
like,21,Dave
different,20,Dave
burger,20,Dave
much,19,Dave
menu,19,Dave
didnt,19,Dave
around,18,Dave
though,18,Dave
fries,18,Dave
side,18,Dave
restaurant,16,Dave
hot,16,Dave
dining,16,Dave
ordered,35,Dave
taste,33,Dave
good,32,Dave
restaurant,30,Dave
fresh,30,Dave
made,27,Dave
husband,26,Dave
order,24,Dave
great,24,Dave
table,23,Dave
oysters,23,Dave
loved,22,Dave
cheese,21,Dave
bread,20,Dave
served,19,Dave
2,16,Dave
food,16,Dave
texture,15,Dave
35,15,Dave
pork,15,Dave
got,14,Dave
5,14,Dave
fresh,14,Dave
bread,14,Dave
wasnt,13,Dave
sauce,13,Dave
cost,13,Dave
hard,13,Dave
made,13,Dave
thick,13,Dave
food,6,Dave
party,4,Dave
beer,4,Dave
spot,3,Dave
menu,3,Dave
slow,2,Dave
great,2,Dave
bar,2,Dave
options,2,Dave
good,2,Dave
soup,2,Dave
like,2,Dave
check,2,Dave
service,2,Dave
come,2,Dave
