text,count,name
food,25,David
bar,18,David
place,15,David
inside,15,David
good,14,David
service,14,David
soup,12,David
clean,11,David
wasnt,10,David
casino,10,David
back,10,David
rib,10,David
tables,10,David
little,10,David
really,9,David
breakfast,9,David
lot,9,David
like,9,David
delicious,9,David
man,9,David
around,9,David
next,9,David
parking,8,David
didnt,8,David
eat,8,David
walked,8,David
great,8,David
friendly,8,David
reno,8,David
eggs,7,David
twice,1,David
went,1,David
salty,1,David
quick,1,David
sample,1,David
could,1,David
occasion,1,David
wasnt,1,David
sad,1,David
lunch,1,David
atm,1,David
downstairs,1,David
bathroom,1,David
theres,1,David
patio,1,David
like,36,David
came,33,David
got,31,David
think,31,David
place,26,David
good,26,David
food,23,David
pretty,22,David
really,22,David
oysters,21,David
shrimp,20,David
little,20,David
crab,20,David
try,19,David
though,19,David
back,23,David
im,22,David
cheese,22,David
delicious,21,David
time,20,David
got,20,David
da,20,David
came,17,David
friendly,16,David
ordered,16,David
didnt,16,David
bartender,16,David
really,16,David
could,15,David
eat,15,David
fries,15,David
old,14,David
people,14,David
steak,14,David
tasty,14,David
bar,14,David
nice,14,David
awesome,14,David
bar,67,David
