text,count,name
find,30,Denise
much,29,Denise
great,28,Denise
area,28,Denise
although,26,Denise
quality,26,Denise
hot,26,Denise
fresh,26,Denise
wasnt,26,Denise
order,25,Denise
server,25,Denise
chicken,25,Denise
think,24,Denise
made,24,Denise
youre,24,Denise
food,32,Denise
time,27,Denise
place,26,Denise
restaurant,23,Denise
got,22,Denise
like,21,Denise
back,20,Denise
im,19,Denise
menu,17,Denise
come,15,Denise
good,15,Denise
next,15,Denise
much,15,Denise
first,13,Denise
best,12,Denise
burger,4,Denise
make,4,Denise
pretty,4,Denise
great,4,Denise
want,4,Denise
still,4,Denise
far,4,Denise
pork,4,Denise
id,4,Denise
say,4,Denise
nashville,4,Denise
thought,4,Denise
come,4,Denise
coffee,4,Denise
try,3,Denise
mall,7,Denise
lots,6,Denise
burger,6,Denise
place,3,Denise
soup,3,Denise
edmonton,3,Denise
pretty,3,Denise
well,3,Denise
parking,3,Denise
perogy,2,Denise
milan,2,Denise
located,2,Denise
messy,2,Denise
section,2,Denise
lucic,2,Denise
