text,count,name
bit,150,Dianna
sweet,146,Dianna
cheese,146,Dianna
items,145,Dianna
coffee,140,Dianna
good,140,Dianna
menu,139,Dianna
well,126,Dianna
pudding,125,Dianna
sauce,124,Dianna
first,121,Dianna
like,120,Dianna
french,120,Dianna
made,119,Dianna
served,119,Dianna
small,114,Dianna
fried,113,Dianna
meal,108,Dianna
id,108,Dianna
quite,108,Dianna
food,106,Dianna
time,103,Dianna
pleasant,4,Dianna
salmon,2,Dianna
didnt,2,Dianna
otherwise,2,Dianna
people,2,Dianna
service,2,Dianna
food,2,Dianna
staff,2,Dianna
