text,count,name
cheese,19,Doctor
place,19,Doctor
lunch,18,Doctor
order,18,Doctor
sauce,18,Doctor
went,18,Doctor
red,17,Doctor
service,17,Doctor
nice,16,Doctor
restaurant,16,Doctor
spicy,16,Doctor
rice,15,Doctor
excellent,15,Doctor
soup,15,Doctor
meal,14,Doctor
food,734,Doctor
time,726,Doctor
good,693,Doctor
know,588,Doctor
like,522,Doctor
dont,500,Doctor
youre,437,Doctor
much,426,Doctor
nashville,416,Doctor
come,408,Doctor
didnt,406,Doctor
came,397,Doctor
well,397,Doctor
menu,382,Doctor
im,381,Doctor
