text,count,name
good,22,Dominik
tasty,22,Dominik
staff,22,Dominik
dinner,21,Dominik
tucson,21,Dominik
breakfast,19,Dominik
time,18,Dominik
amazing,18,Dominik
patio,18,Dominik
hotel,17,Dominik
beautiful,17,Dominik
made,16,Dominik
last,16,Dominik
new,16,Dominik
cheese,15,Dominik
like,33,Dominik
good,29,Dominik
order,21,Dominik
time,19,Dominik
delicious,18,Dominik
didnt,18,Dominik
chicken,17,Dominik
restaurant,16,Dominik
flavor,14,Dominik
service,14,Dominik
must,14,Dominik
sauce,13,Dominik
nice,12,Dominik
wasnt,11,Dominik
ordered,11,Dominik
