text,count,name
kids,12,Ee Vonn
got,12,Ee Vonn
place,10,Ee Vonn
food,10,Ee Vonn
didnt,10,Ee Vonn
really,10,Ee Vonn
oysters,6,Ee Vonn
though,6,Ee Vonn
came,6,Ee Vonn
fried,6,Ee Vonn
ocean,6,Ee Vonn
nice,5,Ee Vonn
like,5,Ee Vonn
waitress,5,Ee Vonn
stars,5,Ee Vonn
ordered,5,Ee Vonn
dessert,5,Ee Vonn
plate,5,Ee Vonn
husband,5,Ee Vonn
menu,5,Ee Vonn
banana,4,Ee Vonn
fosters,4,Ee Vonn
check,4,Ee Vonn
amazing,4,Ee Vonn
gumbo,4,Ee Vonn
wanted,4,Ee Vonn
catfish,4,Ee Vonn
eat,4,Ee Vonn
anything,4,Ee Vonn
well,4,Ee Vonn
