text,count,name
good,15,Eric
people,13,Eric
like,12,Eric
time,11,Eric
food,9,Eric
place,9,Eric
know,8,Eric
dogs,8,Eric
area,8,Eric
dont,8,Eric
many,6,Eric
try,6,Eric
two,6,Eric
speedway,5,Eric
make,5,Eric
line,5,Eric
pizza,5,Eric
night,5,Eric
could,5,Eric
park,5,Eric
kinds,5,Eric
walk,5,Eric
cafe,5,Eric
loud,5,Eric
order,5,Eric
better,5,Eric
although,4,Eric
going,4,Eric
back,4,Eric
maybe,4,Eric
good,62,Eric
like,59,Eric
dont,53,Eric
im,52,Eric
food,50,Eric
best,41,Eric
back,33,Eric
everything,32,Eric
youre,30,Eric
bar,29,Eric
know,29,Eric
well,28,Eric
meal,28,Eric
cheese,27,Eric
time,26,Eric
place,26,Eric
better,25,Eric
make,25,Eric
want,25,Eric
eat,25,Eric
little,24,Eric
going,23,Eric
bloody,23,Eric
order,23,Eric
people,22,Eric
got,22,Eric
2,21,Eric
every,21,Eric
think,21,Eric
new,21,Eric
