text,count,name
good,36,Fancypants
place,26,Fancypants
rather,23,Fancypants
food,23,Fancypants
well,20,Fancypants
sort,15,Fancypants
though,15,Fancypants
bar,15,Fancypants
menu,15,Fancypants
best,14,Fancypants
really,12,Fancypants
restaurant,12,Fancypants
didnt,12,Fancypants
cheese,11,Fancypants
two,11,Fancypants
service,11,Fancypants
better,11,Fancypants
like,10,Fancypants
much,10,Fancypants
stars,10,Fancypants
gay,10,Fancypants
new,9,Fancypants
pats,9,Fancypants
found,9,Fancypants
great,9,Fancypants
however,9,Fancypants
dining,9,Fancypants
items,9,Fancypants
steak,9,Fancypants
star,8,Fancypants
