text,count,name
im,461,Farrah
like,460,Farrah
good,327,Farrah
food,293,Farrah
dont,288,Farrah
vegan,273,Farrah
love,273,Farrah
really,253,Farrah
bar,237,Farrah
place,229,Farrah
time,225,Farrah
menu,211,Farrah
think,194,Farrah
youre,186,Farrah
know,183,Farrah
back,181,Farrah
thats,173,Farrah
new,170,Farrah
much,160,Farrah
could,158,Farrah
night,158,Farrah
make,157,Farrah
theres,151,Farrah
didnt,149,Farrah
kind,147,Farrah
order,146,Farrah
cheese,145,Farrah
going,145,Farrah
ill,145,Farrah
thing,143,Farrah
