text,count,name
good,40,Franco
flavor,36,Franco
sauce,27,Franco
meal,25,Franco
like,25,Franco
food,23,Franco
service,23,Franco
time,21,Franco
chicken,21,Franco
bit,20,Franco
little,19,Franco
sweet,19,Franco
dish,19,Franco
pizza,18,Franco
order,17,Franco
meat,17,Franco
chile,17,Franco
im,16,Franco
well,16,Franco
pork,15,Franco
got,15,Franco
restaurant,15,Franco
friendly,14,Franco
cheese,14,Franco
shrimp,14,Franco
try,13,Franco
breakfast,13,Franco
ordered,12,Franco
fried,12,Franco
chocolate,12,Franco
