text,count,name
tasty,333,Franklin
service,303,Franklin
salad,299,Franklin
really,296,Franklin
time,277,Franklin
didnt,277,Franklin
chicken,272,Franklin
delicious,272,Franklin
made,258,Franklin
im,257,Franklin
like,252,Franklin
well,247,Franklin
cheese,241,Franklin
wasnt,233,Franklin
waitress,230,Franklin
come,229,Franklin
menu,226,Franklin
table,220,Franklin
took,203,Franklin
since,203,Franklin
fresh,198,Franklin
eat,194,Franklin
like,25,Franklin
id,17,Franklin
time,14,Franklin
place,12,Franklin
im,12,Franklin
food,11,Franklin
could,11,Franklin
really,10,Franklin
