text,count,name
good,11,Gourmet
nice,7,Gourmet
lot,7,Gourmet
best,6,Gourmet
university,6,Gourmet
hotel,6,Gourmet
got,6,Gourmet
food,6,Gourmet
young,5,Gourmet
love,5,Gourmet
ordered,5,Gourmet
service,5,Gourmet
chicken,5,Gourmet
flemings,5,Gourmet
area,5,Gourmet
room,5,Gourmet
enjoyed,5,Gourmet
top,4,Gourmet
spot,4,Gourmet
nothing,4,Gourmet
pandemic,4,Gourmet
around,4,Gourmet
sandwich,4,Gourmet
shop,4,Gourmet
rice,4,Gourmet
never,4,Gourmet
covid19,4,Gourmet
cray,4,Gourmet
solid,4,Gourmet
spa,4,Gourmet
