text,count,name
great,12,Howard
service,12,Howard
ill,12,Howard
coworkers,12,Howard
didnt,12,Howard
experience,12,Howard
work,11,Howard
waitress,11,Howard
indy,11,Howard
try,11,Howard
theres,10,Howard
took,10,Howard
table,10,Howard
could,10,Howard
ordered,10,Howard
pretty,9,Howard
good,7,Howard
place,7,Howard
food,7,Howard
little,6,Howard
oysters,6,Howard
like,5,Howard
tasty,5,Howard
enough,5,Howard
much,4,Howard
beignets,4,Howard
delicious,4,Howard
pizza,4,Howard
quality,4,Howard
quite,4,Howard
