text,count,name
everything,11,Jacques
line,11,Jacques
much,11,Jacques
bar,11,Jacques
food,11,Jacques
taste,11,Jacques
really,11,Jacques
oysters,10,Jacques
perfect,10,Jacques
place,10,Jacques
fried,10,Jacques
wait,10,Jacques
tasted,9,Jacques
made,9,Jacques
minutes,9,Jacques
food,41,Jacques
good,37,Jacques
big,36,Jacques
menu,32,Jacques
great,29,Jacques
chicken,28,Jacques
pretty,27,Jacques
ordered,25,Jacques
three,25,Jacques
salad,25,Jacques
two,23,Jacques
shrimp,22,Jacques
like,22,Jacques
dinner,21,Jacques
beer,20,Jacques
