text,count,name
good,333,Janet
like,321,Janet
food,300,Janet
service,300,Janet
bar,268,Janet
place,253,Janet
theres,228,Janet
time,223,Janet
dont,203,Janet
menu,199,Janet
lunch,198,Janet
youre,196,Janet
sauce,193,Janet
try,188,Janet
tasty,165,Janet
chicken,162,Janet
restaurant,159,Janet
got,157,Janet
theyre,157,Janet
friendly,153,Janet
dinner,153,Janet
spicy,152,Janet
dishes,152,Janet
wasnt,140,Janet
large,137,Janet
pizza,137,Janet
friend,137,Janet
thai,137,Janet
ordered,136,Janet
bad,136,Janet
service,2,Janet
sandwich,2,Janet
course,2,Janet
mile,2,Janet
big,1,Janet
decided,1,Janet
eat,1,Janet
higher,1,Janet
end,1,Janet
establishment,1,Janet
hills,1,Janet
sb,1,Janet
setting,1,Janet
uptight,1,Janet
ventured,1,Janet
bar,26,Janet
best,24,Janet
steak,23,Janet
nashville,22,Janet
kitchen,21,Janet
pizza,21,Janet
along,19,Janet
menu,19,Janet
experience,18,Janet
meat,18,Janet
well,18,Janet
hotel,17,Janet
service,17,Janet
thanks,17,Janet
table,17,Janet
