text,count,name
didnt,621,Janice
wife,610,Janice
sandwich,610,Janice
parking,606,Janice
dining,588,Janice
nice,581,Janice
since,560,Janice
well,541,Janice
little,527,Janice
small,525,Janice
could,518,Janice
lot,506,Janice
area,505,Janice
chicken,505,Janice
menu,500,Janice
coffee,4,Janice
delicious,4,Janice
people,3,Janice
nice,3,Janice
place,2,Janice
egg,2,Janice
pretty,2,Janice
filling,2,Janice
bun,2,Janice
could,2,Janice
friendly,2,Janice
bagel,2,Janice
fruit,2,Janice
cup,2,Janice
definitely,2,Janice
