text,count,name
food,48,Jason
restaurant,48,Jason
review,37,Jason
time,36,Jason
hubby,34,Jason
came,34,Jason
inside,29,Jason
place,28,Jason
good,27,Jason
first,26,Jason
menu,25,Jason
fried,23,Jason
didnt,23,Jason
back,23,Jason
table,22,Jason
nice,22,Jason
great,20,Jason
wait,20,Jason
served,20,Jason
service,20,Jason
reno,20,Jason
got,19,Jason
steak,18,Jason
parking,18,Jason
meal,17,Jason
like,17,Jason
server,17,Jason
dining,17,Jason
seating,17,Jason
dinner,16,Jason
service,8,Jason
didnt,8,Jason
dry,8,Jason
came,8,Jason
try,8,Jason
come,7,Jason
better,7,Jason
nothing,7,Jason
back,7,Jason
visit,7,Jason
bbq,7,Jason
restaurant,7,Jason
sandwich,6,Jason
think,6,Jason
potato,6,Jason
good,48,Jason
food,43,Jason
got,38,Jason
like,27,Jason
place,24,Jason
really,20,Jason
came,16,Jason
wasnt,16,Jason
great,15,Jason
didnt,14,Jason
service,14,Jason
boy,13,Jason
po,13,Jason
salty,13,Jason
friend,13,Jason
