text,count,name
good,55,Jboogie
like,51,Jboogie
food,50,Jboogie
place,49,Jboogie
bar,40,Jboogie
great,36,Jboogie
best,35,Jboogie
really,33,Jboogie
little,32,Jboogie
sandwich,31,Jboogie
back,30,Jboogie
beer,29,Jboogie
beach,29,Jboogie
philly,28,Jboogie
much,28,Jboogie
came,27,Jboogie
prices,26,Jboogie
come,25,Jboogie
definitely,25,Jboogie
still,25,Jboogie
couple,25,Jboogie
restaurant,24,Jboogie
though,24,Jboogie
well,24,Jboogie
didnt,24,Jboogie
service,23,Jboogie
area,22,Jboogie
menu,22,Jboogie
got,22,Jboogie
wasnt,21,Jboogie
