text,count,name
best,154,Jeffrey
friendly,149,Jeffrey
location,146,Jeffrey
think,140,Jeffrey
since,135,Jeffrey
beef,135,Jeffrey
new,134,Jeffrey
dont,132,Jeffrey
large,129,Jeffrey
never,126,Jeffrey
order,125,Jeffrey
may,124,Jeffrey
made,122,Jeffrey
people,119,Jeffrey
shrimp,118,Jeffrey
good,25,Jeffrey
great,24,Jeffrey
best,11,Jeffrey
chicken,10,Jeffrey
excellent,10,Jeffrey
food,9,Jeffrey
coffee,9,Jeffrey
time,9,Jeffrey
staff,9,Jeffrey
sure,8,Jeffrey
lot,8,Jeffrey
went,8,Jeffrey
friendly,8,Jeffrey
make,8,Jeffrey
dont,7,Jeffrey
