text,count,name
order,32,Jen
good,28,Jen
really,25,Jen
cheese,24,Jen
definitely,24,Jen
since,23,Jen
back,22,Jen
delicious,21,Jen
shrimp,21,Jen
super,20,Jen
new,18,Jen
didnt,17,Jen
try,17,Jen
bread,17,Jen
tried,16,Jen
fresh,16,Jen
food,16,Jen
recommended,15,Jen
flavor,15,Jen
must,14,Jen
parking,14,Jen
orleans,14,Jen
sauce,14,Jen
much,14,Jen
time,14,Jen
worth,13,Jen
pork,13,Jen
flavorful,12,Jen
flavors,12,Jen
nice,12,Jen
place,27,Jen
bit,15,Jen
room,14,Jen
way,13,Jen
went,13,Jen
like,13,Jen
food,13,Jen
drink,12,Jen
things,11,Jen
made,11,Jen
great,11,Jen
fries,11,Jen
wasnt,11,Jen
quick,11,Jen
make,10,Jen
going,10,Jen
menu,10,Jen
thing,9,Jen
decided,9,Jen
back,9,Jen
meal,8,Jen
night,8,Jen
time,8,Jen
got,8,Jen
well,8,Jen
good,7,Jen
famous,7,Jen
hand,7,Jen
look,7,Jen
amazing,7,Jen
good,26,Jen
like,24,Jen
food,23,Jen
bar,15,Jen
cheese,13,Jen
nice,13,Jen
eggs,13,Jen
dont,13,Jen
im,12,Jen
well,12,Jen
service,12,Jen
tasty,12,Jen
coffee,11,Jen
place,11,Jen
time,11,Jen
thats,10,Jen
say,9,Jen
friendly,9,Jen
dish,9,Jen
delicious,9,Jen
find,9,Jen
menu,9,Jen
jazz,8,Jen
options,8,Jen
spot,8,Jen
brew,8,Jen
line,8,Jen
great,8,Jen
meat,8,Jen
drink,8,Jen
