text,count,name
good,16,Jennifer
food,12,Jennifer
well,10,Jennifer
like,10,Jennifer
order,9,Jennifer
coffee,9,Jennifer
half,9,Jennifer
service,9,Jennifer
nice,8,Jennifer
great,7,Jennifer
im,7,Jennifer
place,7,Jennifer
fresh,7,Jennifer
happy,6,Jennifer
tourist,6,Jennifer
yes,6,Jennifer
glass,6,Jennifer
lunch,6,Jennifer
2,6,Jennifer
4,6,Jennifer
people,6,Jennifer
long,6,Jennifer
busy,6,Jennifer
really,6,Jennifer
bit,6,Jennifer
many,6,Jennifer
love,6,Jennifer
drink,5,Jennifer
chips,5,Jennifer
found,5,Jennifer
ordered,20,Jennifer
2,20,Jennifer
1,13,Jennifer
good,13,Jennifer
3,12,Jennifer
cheese,12,Jennifer
delicious,11,Jennifer
husband,10,Jennifer
fresh,9,Jennifer
nice,8,Jennifer
4,6,Jennifer
pork,6,Jennifer
got,6,Jennifer
available,6,Jennifer
5,6,Jennifer
place,6,Jennifer
great,6,Jennifer
restaurant,6,Jennifer
soup,6,Jennifer
seating,5,Jennifer
order,5,Jennifer
6,5,Jennifer
back,5,Jennifer
outside,5,Jennifer
breakfast,5,Jennifer
sat,5,Jennifer
staff,5,Jennifer
friendly,5,Jennifer
food,5,Jennifer
meats,5,Jennifer
place,14,Jennifer
food,13,Jennifer
though,8,Jennifer
service,7,Jennifer
like,6,Jennifer
quite,6,Jennifer
really,6,Jennifer
two,6,Jennifer
good,6,Jennifer
special,6,Jennifer
im,6,Jennifer
nothing,5,Jennifer
bit,5,Jennifer
standard,5,Jennifer
every,5,Jennifer
best,5,Jennifer
id,5,Jennifer
got,5,Jennifer
ordered,4,Jennifer
shrimp,4,Jennifer
seafood,4,Jennifer
something,4,Jennifer
nice,4,Jennifer
three,4,Jennifer
didnt,4,Jennifer
made,4,Jennifer
youre,4,Jennifer
seriously,4,Jennifer
coffee,3,Jennifer
delicious,3,Jennifer
