text,count,name
good,9,Jess
cheesesteak,8,Jess
really,7,Jess
came,7,Jess
place,6,Jess
sandwich,6,Jess
definitely,5,Jess
bun,5,Jess
philly,5,Jess
food,4,Jess
nice,4,Jess
little,4,Jess
service,4,Jess
great,4,Jess
tour,4,Jess
didnt,3,Jess
bowl,3,Jess
got,3,Jess
seating,3,Jess
pretty,3,Jess
ordered,3,Jess
make,3,Jess
bit,2,Jess
love,2,Jess
grub,2,Jess
better,2,Jess
could,2,Jess
actually,2,Jess
long,2,Jess
super,2,Jess
review,4,Jess
nola,4,Jess
dog,4,Jess
patio,4,Jess
famous,4,Jess
didnt,4,Jess
delicious,4,Jess
visit,4,Jess
fried,4,Jess
experience,4,Jess
line,4,Jess
crab,4,Jess
meal,4,Jess
town,4,Jess
made,3,Jess
good,39,Jess
great,29,Jess
ordered,26,Jess
place,24,Jess
food,24,Jess
chicken,19,Jess
really,19,Jess
like,18,Jess
oysters,18,Jess
well,17,Jess
fried,16,Jess
cheese,15,Jess
fries,15,Jess
service,14,Jess
bread,13,Jess
