text,count,name
consisted,51,John L.
served,31,John L.
ordered,30,John L.
chicken,28,John L.
sauce,27,John L.
cheese,20,John L.
cream,19,John L.
salad,19,John L.
fried,17,John L.
topped,16,John L.
bread,16,John L.
red,15,John L.
shrimp,14,John L.
like,14,John L.
two,14,John L.
soup,14,John L.
roasted,14,John L.
orange,13,John L.
lemon,13,John L.
delicious,13,John L.
food,12,John L.
restaurant,12,John L.
crab,12,John L.
liked,12,John L.
meat,12,John L.
butter,12,John L.
ice,12,John L.
beans,12,John L.
garlic,11,John L.
lettuce,11,John L.
