text,count,name
really,55,John
good,54,John
great,39,John
pretty,37,John
like,30,John
id,24,John
got,23,John
dont,21,John
food,20,John
im,19,John
cheese,18,John
shrimp,17,John
fried,16,John
thing,16,John
little,16,John
sort,15,John
try,15,John
solid,15,John
eat,14,John
probably,14,John
chicken,14,John
could,13,John
thats,13,John
sandwich,13,John
though,13,John
super,12,John
better,12,John
stuff,12,John
well,11,John
think,11,John
bar,3,John
friends,3,John
got,3,John
though,3,John
dark,3,John
places,3,John
people,3,John
thats,3,John
wanted,3,John
thing,3,John
kind,3,John
erin,3,John
much,3,John
favorite,3,John
noticed,2,John
restaurant,9,John
came,9,John
beef,9,John
sushi,7,John
service,6,John
fresh,6,John
food,6,John
slightly,6,John
w,6,John
thai,6,John
good,5,John
salad,5,John
top,5,John
okay,4,John
although,4,John
great,34,John
bar,34,John
could,31,John
dont,30,John
chicken,28,John
came,28,John
friend,27,John
fries,27,John
amazing,27,John
service,26,John
two,25,John
new,25,John
back,25,John
want,25,John
first,24,John
stars,85,John
great,40,John
4,35,John
meat,25,John
bit,22,John
w,22,John
sweet,21,John
3,20,John
little,20,John
soft,19,John
flavor,19,John
didnt,19,John
like,18,John
good,18,John
much,17,John
corn,8,John
nice,8,John
wasnt,8,John
order,8,John
spicy,8,John
kimchi,8,John
deviled,8,John
cheese,7,John
back,7,John
fried,7,John
tasty,7,John
hot,7,John
tea,7,John
better,7,John
tacos,7,John
place,24,John
great,22,John
bar,17,John
excellent,10,John
like,9,John
nice,8,John
better,8,John
location,8,John
menu,7,John
went,6,John
good,6,John
experience,6,John
district,6,John
breakfast,5,John
really,5,John
got,13,John
im,13,John
people,13,John
bit,13,John
beer,12,John
reviews,12,John
perfect,12,John
could,12,John
ordered,11,John
youre,11,John
loved,11,John
nice,11,John
id,11,John
looking,10,John
try,10,John
place,6,John
parking,4,John
lot,3,John
motel,3,John
saw,3,John
like,3,John
around,2,John
pastry,2,John
bell,2,John
taco,2,John
going,2,John
job,2,John
7am,2,John
makes,2,John
im,2,John
