text,count,name
place,62,Jordan
well,57,Jordan
nice,38,Jordan
back,35,Jordan
good,33,Jordan
like,30,Jordan
lunch,24,Jordan
wonderful,21,Jordan
great,20,Jordan
next,20,Jordan
menu,20,Jordan
really,19,Jordan
little,19,Jordan
people,18,Jordan
come,18,Jordan
time,17,Jordan
sandwich,17,Jordan
way,17,Jordan
parking,17,Jordan
restaurant,16,Jordan
everything,16,Jordan
oh,15,Jordan
sure,15,Jordan
chicken,15,Jordan
many,15,Jordan
staff,15,Jordan
santa,14,Jordan
tacos,14,Jordan
perfect,14,Jordan
try,13,Jordan
