text,count,name
chicken,432,Juan
like,410,Juan
good,375,Juan
im,346,Juan
food,341,Juan
time,325,Juan
back,311,Juan
place,280,Juan
really,268,Juan
id,267,Juan
didnt,228,Juan
salad,227,Juan
visit,225,Juan
nice,223,Juan
great,220,Juan
since,214,Juan
beer,213,Juan
meal,209,Juan
ordered,208,Juan
cheese,198,Juan
pretty,190,Juan
server,187,Juan
bar,184,Juan
first,182,Juan
menu,178,Juan
order,175,Juan
last,168,Juan
dont,166,Juan
know,166,Juan
still,160,Juan
dinner,3,Juan
drinks,3,Juan
back,3,Juan
friend,3,Juan
happy,3,Juan
lame,3,Juan
well,2,Juan
overrated,2,Juan
settled,2,Juan
went,2,Juan
could,2,Juan
visiting,2,Juan
miss,2,Juan
pork,2,Juan
wanted,2,Juan
good,136,Juan
food,118,Juan
really,105,Juan
place,95,Juan
great,94,Juan
got,91,Juan
like,83,Juan
pretty,70,Juan
nice,68,Juan
chicken,67,Juan
time,67,Juan
back,58,Juan
kids,55,Juan
meal,55,Juan
lunch,49,Juan
