text,count,name
und,34,Karen
der,29,Karen
das,27,Karen
ist,25,Karen
ich,24,Karen
es,20,Karen
die,19,Karen
nicht,18,Karen
aber,18,Karen
ein,17,Karen
auf,11,Karen
mit,11,Karen
war,11,Karen
da,10,Karen
hier,9,Karen
eine,9,Karen
dem,8,Karen
den,8,Karen
wilmington,8,Karen
dann,8,Karen
kann,8,Karen
gibt,7,Karen
man,7,Karen
dass,7,Karen
auch,7,Karen
zu,6,Karen
im,6,Karen
einer,6,Karen
aus,6,Karen
muss,6,Karen
area,48,Karen
definitely,45,Karen
bit,45,Karen
im,43,Karen
fresh,43,Karen
well,41,Karen
quality,41,Karen
wasnt,40,Karen
stars,40,Karen
cheese,40,Karen
flavor,39,Karen
around,38,Karen
way,37,Karen
everything,37,Karen
2,37,Karen
got,5,Karen
wasnt,5,Karen
time,4,Karen
cream,4,Karen
ice,4,Karen
ordered,4,Karen
saw,4,Karen
looking,3,Karen
places,3,Karen
pasta,3,Karen
like,3,Karen
crab,3,Karen
people,3,Karen
wait,3,Karen
door,3,Karen
