text,count,name
people,7,Kathleen
know,7,Kathleen
time,7,Kathleen
best,7,Kathleen
salad,6,Kathleen
sandwich,6,Kathleen
huge,6,Kathleen
everything,6,Kathleen
nice,5,Kathleen
thing,5,Kathleen
served,5,Kathleen
chocolate,5,Kathleen
cream,5,Kathleen
experience,5,Kathleen
fish,5,Kathleen
place,60,Kathleen
food,47,Kathleen
came,39,Kathleen
ordered,36,Kathleen
really,36,Kathleen
good,34,Kathleen
chicken,30,Kathleen
bar,30,Kathleen
nice,29,Kathleen
area,25,Kathleen
since,25,Kathleen
order,25,Kathleen
hour,24,Kathleen
tacos,22,Kathleen
best,22,Kathleen
