text,count,name
good,52,Kenneth
got,21,Kenneth
service,19,Kenneth
back,17,Kenneth
well,15,Kenneth
pie,14,Kenneth
hot,14,Kenneth
bit,14,Kenneth
great,12,Kenneth
sweetie,12,Kenneth
cream,11,Kenneth
pretty,11,Kenneth
breakfast,10,Kenneth
nice,10,Kenneth
like,10,Kenneth
chicken,9,Kenneth
place,9,Kenneth
decent,9,Kenneth
think,9,Kenneth
crawfish,9,Kenneth
cheese,9,Kenneth
prices,8,Kenneth
bacon,8,Kenneth
wanted,8,Kenneth
menu,8,Kenneth
fresh,8,Kenneth
excellent,7,Kenneth
fried,7,Kenneth
bread,7,Kenneth
salad,7,Kenneth
