text,count,name
many,497,Kimberly
service,492,Kimberly
great,486,Kimberly
need,474,Kimberly
stars,459,Kimberly
pork,436,Kimberly
try,428,Kimberly
shrimp,418,Kimberly
rice,392,Kimberly
area,391,Kimberly
price,389,Kimberly
special,388,Kimberly
may,385,Kimberly
make,381,Kimberly
steak,378,Kimberly
small,14,Kimberly
place,13,Kimberly
well,12,Kimberly
food,11,Kimberly
good,10,Kimberly
like,10,Kimberly
cheese,9,Kimberly
market,9,Kimberly
room,9,Kimberly
street,9,Kimberly
could,9,Kimberly
great,9,Kimberly
ordered,9,Kimberly
fun,8,Kimberly
tried,8,Kimberly
