text,count,name
note,54,Lisa
w,53,Lisa
food,46,Lisa
good,46,Lisa
bar,38,Lisa
chocolate,35,Lisa
like,32,Lisa
nice,32,Lisa
seating,31,Lisa
pizza,30,Lisa
bread,30,Lisa
2,28,Lisa
bit,27,Lisa
sandwich,27,Lisa
got,26,Lisa
crust,26,Lisa
really,23,Lisa
plus,23,Lisa
since,23,Lisa
back,23,Lisa
try,23,Lisa
coffee,23,Lisa
cheese,22,Lisa
well,21,Lisa
love,21,Lisa
outdoor,21,Lisa
special,20,Lisa
im,19,Lisa
came,19,Lisa
theres,19,Lisa
food,20,Lisa
good,13,Lisa
like,12,Lisa
place,10,Lisa
ordered,9,Lisa
drink,9,Lisa
time,8,Lisa
bar,8,Lisa
group,7,Lisa
really,7,Lisa
service,7,Lisa
order,6,Lisa
im,6,Lisa
great,6,Lisa
well,6,Lisa
first,6,Lisa
come,5,Lisa
bacon,5,Lisa
drinks,5,Lisa
better,5,Lisa
something,5,Lisa
chicken,5,Lisa
bit,5,Lisa
came,5,Lisa
lot,5,Lisa
burgers,4,Lisa
decent,4,Lisa
somewhat,4,Lisa
options,4,Lisa
though,4,Lisa
ordered,13,Lisa
wife,11,Lisa
fries,9,Lisa
good,9,Lisa
friendly,8,Lisa
great,8,Lisa
fresh,8,Lisa
came,7,Lisa
enjoyed,6,Lisa
delicious,6,Lisa
tasty,5,Lisa
food,5,Lisa
hostess,5,Lisa
sandwich,5,Lisa
room,5,Lisa
well,5,Lisa
service,5,Lisa
didnt,4,Lisa
chocolate,4,Lisa
perfect,4,Lisa
chips,4,Lisa
seated,4,Lisa
got,4,Lisa
cheese,4,Lisa
waitress,4,Lisa
corn,4,Lisa
bread,4,Lisa
drink,4,Lisa
main,4,Lisa
cuban,4,Lisa
