text,count,name
cheese,65,Lorraine
fried,50,Lorraine
place,46,Lorraine
really,41,Lorraine
little,40,Lorraine
chicken,39,Lorraine
came,39,Lorraine
delicious,38,Lorraine
great,37,Lorraine
nice,35,Lorraine
restaurant,34,Lorraine
hot,33,Lorraine
pork,32,Lorraine
bread,32,Lorraine
steak,32,Lorraine
well,29,Lorraine
sauce,28,Lorraine
side,25,Lorraine
menu,25,Lorraine
like,24,Lorraine
area,24,Lorraine
sweet,23,Lorraine
cream,23,Lorraine
onions,23,Lorraine
back,22,Lorraine
beef,21,Lorraine
wasnt,20,Lorraine
small,20,Lorraine
parking,20,Lorraine
chocolate,20,Lorraine
