text,count,name
nice,250,Madelyn
really,248,Madelyn
spicy,247,Madelyn
place,246,Madelyn
try,236,Madelyn
side,232,Madelyn
well,231,Madelyn
bit,231,Madelyn
love,229,Madelyn
crispy,229,Madelyn
delicious,227,Madelyn
still,221,Madelyn
rice,206,Madelyn
2,204,Madelyn
friendly,201,Madelyn
really,65,Madelyn
id,54,Madelyn
order,46,Madelyn
good,39,Madelyn
ordered,38,Madelyn
definitely,32,Madelyn
service,31,Madelyn
im,31,Madelyn
great,30,Madelyn
way,30,Madelyn
like,29,Madelyn
say,29,Madelyn
time,28,Madelyn
best,27,Madelyn
dinner,27,Madelyn
