text,count,name
dont,12,Manda Bear
little,12,Manda Bear
could,11,Manda Bear
delicious,11,Manda Bear
food,11,Manda Bear
spot,11,Manda Bear
came,11,Manda Bear
tasty,10,Manda Bear
line,10,Manda Bear
inside,10,Manda Bear
time,10,Manda Bear
im,10,Manda Bear
shrimp,10,Manda Bear
come,9,Manda Bear
service,9,Manda Bear
place,7,Manda Bear
ordered,6,Manda Bear
back,5,Manda Bear
lunch,4,Manda Bear
got,4,Manda Bear
friendly,4,Manda Bear
shrimp,4,Manda Bear
oysters,3,Manda Bear
sauce,3,Manda Bear
next,3,Manda Bear
delish,3,Manda Bear
great,3,Manda Bear
parking,3,Manda Bear
order,3,Manda Bear
staff,3,Manda Bear
