text,count,name
service,6,Maria
cafe,6,Maria
okay,6,Maria
dive,5,Maria
youre,5,Maria
delicious,5,Maria
inside,5,Maria
nice,5,Maria
potato,5,Maria
soup,5,Maria
burgers,5,Maria
made,5,Maria
coffee,4,Maria
menu,4,Maria
could,4,Maria
place,61,Maria
food,52,Maria
restaurant,50,Maria
like,50,Maria
little,48,Maria
service,44,Maria
well,43,Maria
bar,38,Maria
time,38,Maria
really,35,Maria
dont,34,Maria
experience,33,Maria
im,33,Maria
good,33,Maria
could,31,Maria
time,13,Maria
went,13,Maria
great,13,Maria
ordered,12,Maria
tried,12,Maria
way,12,Maria
best,12,Maria
drink,12,Maria
flavor,11,Maria
ok,11,Maria
fried,11,Maria
cute,11,Maria
back,11,Maria
recommend,11,Maria
around,10,Maria
food,235,Maria
good,219,Maria
like,185,Maria
night,175,Maria
back,164,Maria
time,137,Maria
great,111,Maria
dont,110,Maria
really,110,Maria
im,106,Maria
pretty,101,Maria
bar,101,Maria
eat,100,Maria
place,99,Maria
last,97,Maria
