text,count,name
much,76,Marianne
menu,73,Marianne
back,72,Marianne
sushi,72,Marianne
great,66,Marianne
best,65,Marianne
came,65,Marianne
since,57,Marianne
better,56,Marianne
people,56,Marianne
little,52,Marianne
could,50,Marianne
everything,49,Marianne
chicken,49,Marianne
think,49,Marianne
food,30,Marianne
good,30,Marianne
coffee,29,Marianne
like,27,Marianne
nashville,27,Marianne
place,22,Marianne
experience,17,Marianne
great,17,Marianne
best,17,Marianne
shop,16,Marianne
ordered,16,Marianne
seating,15,Marianne
indy,14,Marianne
1,14,Marianne
cheese,13,Marianne
