text,count,name
pretty,5,Marielle
reno,5,Marielle
7,4,Marielle
sure,4,Marielle
eggs,4,Marielle
breakfast,4,Marielle
food,4,Marielle
burrito,3,Marielle
menu,3,Marielle
pairing,3,Marielle
chips,3,Marielle
staff,3,Marielle
ingredients,3,Marielle
really,3,Marielle
add,2,Marielle
discount,2,Marielle
100,2,Marielle
wine,2,Marielle
salsa,2,Marielle
level,2,Marielle
pricey,2,Marielle
came,2,Marielle
guests,2,Marielle
nonalcoholic,2,Marielle
organic,2,Marielle
shrimp,2,Marielle
restaurants,2,Marielle
nothing,2,Marielle
dining,2,Marielle
meal,2,Marielle
