text,count,name
sauce,18,Marilyn
bread,17,Marilyn
places,17,Marilyn
location,16,Marilyn
ok,16,Marilyn
much,16,Marilyn
people,15,Marilyn
popular,15,Marilyn
stl,15,Marilyn
back,14,Marilyn
little,14,Marilyn
well,14,Marilyn
bar,14,Marilyn
fried,13,Marilyn
atmosphere,13,Marilyn
food,33,Marilyn
place,22,Marilyn
good,20,Marilyn
service,15,Marilyn
vegetarian,14,Marilyn
im,12,Marilyn
really,12,Marilyn
wasnt,10,Marilyn
indian,10,Marilyn
buffet,10,Marilyn
great,10,Marilyn
daal,10,Marilyn
lunch,9,Marilyn
experience,9,Marilyn
quite,9,Marilyn
