text,count,name
time,9,Mark
big,9,Mark
food,8,Mark
ordered,8,Mark
around,7,Mark
menu,7,Mark
pizza,7,Mark
looking,6,Mark
back,6,Mark
well,6,Mark
staff,6,Mark
music,6,Mark
love,6,Mark
sure,6,Mark
great,6,Mark
blackened,6,Mark
sweet,6,Mark
place,6,Mark
youre,5,Mark
came,5,Mark
way,5,Mark
wait,5,Mark
place,35,Mark
minutes,22,Mark
good,21,Mark
table,19,Mark
server,19,Mark
lots,18,Mark
friendly,18,Mark
tables,17,Mark
cheese,1,Mark
dip,1,Mark
loved,1,Mark
blueberry,1,Mark
lemonade,1,Mark
perfect,1,Mark
5,1,Mark
since,1,Mark
paid,1,Mark
8,1,Mark
filling,1,Mark
workers,1,Mark
efficient,1,Mark
line,1,Mark
flies,1,Mark
location,4,Mark
nice,1,Mark
pier,1,Mark
passing,1,Mark
wanted,1,Mark
youd,1,Mark
think,1,Mark
fish,1,Mark
chips,1,Mark
pretty,1,Mark
good,1,Mark
restaurant,1,Mark
wrong,1,Mark
two,1,Mark
wayoverbreaded,1,Mark
