text,count,name
place,40,Marqus
food,36,Marqus
tried,28,Marqus
thought,23,Marqus
came,22,Marqus
like,22,Marqus
great,20,Marqus
beignets,19,Marqus
space,17,Marqus
good,16,Marqus
area,16,Marqus
wasnt,16,Marqus
french,16,Marqus
tasted,14,Marqus
dish,14,Marqus
modern,13,Marqus
drink,12,Marqus
sweet,12,Marqus
didnt,11,Marqus
really,11,Marqus
menu,11,Marqus
sauce,10,Marqus
mom,10,Marqus
got,10,Marqus
options,10,Marqus
nice,10,Marqus
quarters,10,Marqus
think,10,Marqus
vietnamese,10,Marqus
cafe,10,Marqus
