text,count,name
good,2989,Mary Kate
4,1223,Mary Kate
35,1013,Mary Kate
food,530,Mary Kate
service,403,Mary Kate
overall,402,Mary Kate
375,344,Mary Kate
menu,331,Mary Kate
3,321,Mary Kate
425,252,Mary Kate
45,241,Mary Kate
pretty,223,Mary Kate
ok,213,Mary Kate
325,212,Mary Kate
coffee,204,Mary Kate
favorite,197,Mary Kate
w,191,Mary Kate
chocolate,168,Mary Kate
note,164,Mary Kate
cheese,157,Mary Kate
sauce,157,Mary Kate
watertap,151,Mary Kate
drinks,132,Mary Kate
like,128,Mary Kate
notes,125,Mary Kate
pizza,111,Mary Kate
french,102,Mary Kate
parking,102,Mary Kate
cream,95,Mary Kate
hot,93,Mary Kate
