text,count,name
flavor,8,Matt
philly,8,Matt
came,7,Matt
think,7,Matt
bit,7,Matt
bread,7,Matt
side,7,Matt
way,7,Matt
cold,7,Matt
drink,7,Matt
cake,7,Matt
corner,7,Matt
ps,7,Matt
wonderful,7,Matt
area,6,Matt
place,25,Matt
well,25,Matt
good,21,Matt
service,16,Matt
food,13,Matt
friendly,11,Matt
prices,10,Matt
st,10,Matt
louis,9,Matt
really,9,Matt
long,9,Matt
find,9,Matt
visit,9,Matt
delicious,9,Matt
yes,8,Matt
seafood,12,Matt
back,12,Matt
breakfast,12,Matt
well,11,Matt
salmon,11,Matt
come,11,Matt
pretty,11,Matt
ordered,11,Matt
im,11,Matt
gumbo,10,Matt
delicious,9,Matt
hour,9,Matt
crab,9,Matt
sauce,9,Matt
little,9,Matt
bar,28,Matt
place,23,Matt
like,21,Matt
food,18,Matt
nashville,15,Matt
big,15,Matt
im,14,Matt
good,13,Matt
many,13,Matt
experience,12,Matt
band,11,Matt
time,11,Matt
another,10,Matt
town,10,Matt
visit,10,Matt
